TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
2001,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,277 858,
2001,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5 347,
2001,France,Number,Males,Total,Tuberculosis,545,
2001,France,Number,Males,Total,Meningococcal infection,30,
2001,France,Number,Males,Total,Viral hepatitis,471,
2001,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,892,
2001,France,Number,Males,Total,Neoplasms,91 737,
2001,France,Number,Males,Total,Malignant neoplasms (C00-C97),88 481,
2001,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3 755,
2001,France,Number,Males,Total,Malignant neoplasm of oesophagus,3 442,
2001,France,Number,Males,Total,Malignant neoplasm of stomach,3 213,
2001,France,Number,Males,Total,Malignant neoplasm of colon,6 274,
2001,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2 242,
2001,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5 258,
2001,France,Number,Males,Total,Malignant neoplasm of pancreas,3 788,
2001,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22 457,
2001,France,Number,Males,Total,Malignant melanoma of skin,761,
2001,France,Number,Males,Total,Malignant neoplasm of breast,177,
2001,France,Number,Males,Total,Malignant neoplasm of cervix uteri,:,
2001,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,:,
2001,France,Number,Males,Total,Malignant neoplasm of ovary,:,
2001,France,Number,Males,Total,Malignant neoplasm of prostate,9 327,
2001,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",1 937,
2001,France,Number,Males,Total,Malignant neoplasm of bladder,3 231,
2001,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6 863,
2001,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1 000,
2001,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8 356,
2001,France,Number,Males,Total,Diabetes mellitus,5 318,
2001,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7 468,
2001,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2 523,
2001,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",127,
2001,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),9 497,
2001,France,Number,Males,Total,Meningitis,80,
2001,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),75 350,
2001,France,Number,Males,Total,Ischaemic heart diseases,24 913,
2001,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19 513,
2001,France,Number,Males,Total,Cerebrovascular diseases,16 223,
2001,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),17 292,
2001,France,Number,Males,Total,Influenza,76,
2001,France,Number,Males,Total,Pneumonia,4 947,
2001,France,Number,Males,Total,Chronic lower respiratory diseases,5 566,
2001,France,Number,Males,Total,Asthma and status asthmaticus,647,
2001,France,Number,Males,Total,Diseases of the digestive system (K00-K93),13 226,
2001,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",486,
2001,France,Number,Males,Total,Chronic liver disease,6 174,
2001,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),628,
2001,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1 387,
2001,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",164,
2001,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),3 698,
2001,France,Number,Males,Total,Diseases of kidney and ureter,2 809,
2001,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",:,
2001,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),1 006,
2001,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",892,
2001,France,Number,Males,Total,Congenital malformations of the nervous system,88,
2001,France,Number,Males,Total,Congenital malformations of the circulatory system,329,
2001,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",15 872,
2001,France,Number,Males,Total,Sudden infant death syndrome,229,
2001,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7 726,
2001,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),25 102,
2001,France,Number,Males,Total,Accidents,15 867,
2001,France,Number,Males,Total,Transport accidents (V01-V99),5 840,
2001,France,Number,Males,Total,Falls,2 546,
2001,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,459,
2001,France,Number,Males,Total,Intentional self-harm,7 798,
2001,France,Number,Males,Total,Assault,324,
2001,France,Number,Males,Total,Event of undetermined intent,553,
2001,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,263 325,
2001,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),5 157,
2001,France,Number,Females,Total,Tuberculosis,516,
2001,France,Number,Females,Total,Meningococcal infection,15,
2001,France,Number,Females,Total,Viral hepatitis,439,
2001,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,248,
2001,France,Number,Females,Total,Neoplasms,61 421,
2001,France,Number,Females,Total,Malignant neoplasms (C00-C97),58 262,
2001,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",738,
2001,France,Number,Females,Total,Malignant neoplasm of oesophagus,699,
2001,France,Number,Females,Total,Malignant neoplasm of stomach,2 020,
2001,France,Number,Females,Total,Malignant neoplasm of colon,5 786,
2001,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1 780,
2001,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,1 705,
2001,France,Number,Females,Total,Malignant neoplasm of pancreas,3 554,
2001,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",4 624,
2001,France,Number,Females,Total,Malignant melanoma of skin,631,
2001,France,Number,Females,Total,Malignant neoplasm of breast,11 088,
2001,France,Number,Females,Total,Malignant neoplasm of cervix uteri,793,
2001,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,2 192,
2001,France,Number,Females,Total,Malignant neoplasm of ovary,3 260,
2001,France,Number,Females,Total,Malignant neoplasm of prostate,:,
2001,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",1 125,
2001,France,Number,Females,Total,Malignant neoplasm of bladder,1 029,
2001,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",5 976,
2001,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1 292,
2001,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",11 668,
2001,France,Number,Females,Total,Diabetes mellitus,6 223,
2001,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),10 527,
2001,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,589,
2001,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",36,
2001,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),12 230,
2001,France,Number,Females,Total,Meningitis,81,
2001,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),87 725,
2001,France,Number,Females,Total,Ischaemic heart diseases,20 125,
2001,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",26 190,
2001,France,Number,Females,Total,Cerebrovascular diseases,22 599,
2001,France,Number,Females,Total,Diseases of the respiratory system (J00-J99),15 332,
2001,France,Number,Females,Total,Influenza,100,
2001,France,Number,Females,Total,Pneumonia,5 773,
2001,France,Number,Females,Total,Chronic lower respiratory diseases,3 291,
2001,France,Number,Females,Total,Asthma and status asthmaticus,871,
2001,France,Number,Females,Total,Diseases of the digestive system (K00-K93),11 428,
2001,France,Number,Females,Total,"Ulcer of stomach, duodenum and jejunum",517,
2001,France,Number,Females,Total,Chronic liver disease,2 602,
2001,France,Number,Females,Total,Diseases of the skin and subcutaneous tissue (L00-L99),1 587,
2001,France,Number,Females,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),2 518,
2001,France,Number,Females,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",575,
2001,France,Number,Females,Total,Diseases of the genitourinary system  (N00-N99),3 994,
2001,France,Number,Females,Total,Diseases of kidney and ureter,3 056,
2001,France,Number,Females,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",61,
2001,France,Number,Females,Total,Certain conditions originating in the perinatal period (P00-P96),748,
2001,France,Number,Females,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",798,
2001,France,Number,Females,Total,Congenital malformations of the nervous system,92,
2001,France,Number,Females,Total,Congenital malformations of the circulatory system,312,
2001,France,Number,Females,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",19 862,
2001,France,Number,Females,Total,Sudden infant death syndrome,123,
2001,France,Number,Females,Total,Ill-defined and unknown causes of mortality,6 249,
2001,France,Number,Females,Total,External causes of morbidity and mortality (V01-Y89),16 977,
2001,France,Number,Females,Total,Accidents,13 165,
2001,France,Number,Females,Total,Transport accidents (V01-V99),2 125,
2001,France,Number,Females,Total,Falls,2 791,
2001,France,Number,Females,Total,Accidental poisoning by and exposure to noxious substances,496,
2001,France,Number,Females,Total,Intentional self-harm,2 827,
2001,France,Number,Females,Total,Assault,210,
